# GeneSpring v.7.3.1
# Annotations file for the Master Table of Genes (both ORFs and non-
# ORFs) for genome Fission yeast
Systematic Name	EC number	PombePD	Our_annotation	Phenotype	Function	Keywords	PubMedID	GeneDB	Remarks	Swissprot	Type	DBid	GO biological process	GO molecular function	GO cellular component	RefSeq	UniGene
pcu4		Cullin, a component of an E3 ubiquitin ligase complex required for heterochromatin formation					SPAC3A11.08	cullin 4,  pcu4,  Cul-4		O14122							
C2C4.06c		Member of the NOL1, NOP2 or sun family, has a region of low similarity to a region of nucleolar protein 1 (human NOL1), which is a proliferation-associated antigen that interacts with 60-80S pre-RNP particles, human MCRS1 and human NP					SPAC2C4.06c	NOL1/NOP2/sun family		O14039							
C21.03c		Member of the DUF589 protein of unknown function family					SPBC21.03c			O94645							
prp39		Protein with weak similarity to S. cerevisiae Prp39p, which is a U1 snRNA-associated protein that is required for commitment of pre-mRNA to splicing pathway					SPBC4B4.09	U1 snRNA-associated protein		O74970							
dma1		Component of the spindle checkpoint pathway, inhibits activation of the septation initiation network					SPAC17G8.10c	zinc finger protein		Q10322							
C23D3.07	EC3.4.25.1	Protein with high similarity to proteasome subunit beta2_sc (S. cerevisiae Pup1p), which is involved in trypsin-like activity of the proteasome, member of the A- or B-type proteasome family					SPAC23D3.07	20S proteasome component (beta 2)		Q09841							
C20H4.06c		Member of the DUF1604 domain of unknown function family, which may be RNA processing proteins, has a region of low similarity to a region of C. elegans R07E5.1, which is involved in larval development and body morphogenesis and lipid storage					SPAC20H4.06c	conserved eukaryotic protein		Q9HE07							
C8E4.03	EC3.5.3.11	Protein containing an arginase family domain, has low similarity to agmatine ureohydrolase (human AGMAT), which hydrolyzes agmatine to putrescine and urea and may play a role in the pathophysiology of hepatitis B viral infection					SPBC8E4.03	arginase family (predicted)		O42887							
C23D3.08		Protein containing an hnRNP K homology (KH) domain, which may bind RNA					SPAC23D3.08	KH domain protein		Q09848							
meu22		Protein with high similarity to S. cerevisiae Gap1p, which is a general amino acid permease that acts as a proton symport transporter for all naturally-occurring L-amino acids, member of the amino acid permease family of membrane transporters					SPBC19F8.06c	meiotic expression upregulated		O60170							
C8E4.04		Protein containing an aldo-keto reductase family domain, has moderate similarity to aldehyde reductase (mouse Akr1a4), which is an NADPH-dependent aldo-keto reductase that reduces carbonyl-containing substrates					SPBC8E4.04	aldo/keto reductase		O42888							
C23D3.09		Member of the actin family, which are major cytoskeletal proteins, has moderate similarity to S. pombe Alp5p, which may be involved in regulating cell morphology					SPAC23D3.09	actin-like protein		Q09849							
C8E4.06	EC1.4.3.6	Protein containing a copper amine oxidase N2 domain, a copper amine oxidase N3 domain, and a copper amine oxidase enzyme domain, has low similarity to A. niger Ao-I, which may be involved in detoxifying extracellular amines and in nitrogen metabolism					SPBC1289.16c	copper amine oxidase (predicted),  SPBC8E4.06		O42890							
meu25		Protein of unknown function					SPBC27.03	meiotic expression upregulated		Q9P6S4							
C31E1.01c		Protein with weak similarity to S. cerevisiae Atg2p, which is involved in cytoplasm to vacuole targeting (Cvt) and autophagy and peroxisomal degradation and sporulation					SPBC31E1.01c	zinc finger protein (inferred from context),  SPBC660.18c		O94649							
meu26		Protein of unknown function, appears to localize to the nucleus, transcription is increased during meiosis					SPAC6B12.16	conserved fungal protein		O14220							
meu29		Protein of unknown function					SPAC25H1.05	meiotic expression upregulated		O13980							
hba1: caf1		Protein required for sensitivity to brefeldin A and involved in export from the nucleus of proteins containing export signals					SPBC365.13c	Ran-GTPase-binding protein,  caf1		Q09146							
prh1		Probable ATP-dependent RNA helicase					SPAC2G11.11c	RNA helicase		Q03319							
ssb1: rpa1: rad11		Large subunit of single-stranded DNA-binding protein required for DNA replication, involved in DNA repair and maintaining proper telomere length					SPBC660.13c	DNA replication factor A complex (subunit 1) (PMID 8702843),  rpa1,  rad11		Q92372							
C1739.10		Protein of unknown function					SPCC1739.10	conserved fungal protein		O74472							
wtf6: wtf2-pseudo							SPCC553.05c										
C27E2.01	EC3.2.1.1	Protein containing an alpha amylase N-terminal catalytic domain, which degrade branched and unbranched starches, has moderate similarity to alpha amylase (1,4-alpha-glucan glucanohydrolase, A. flavus Amy1), which hydrolyzes starch					SPAC27E2.01	alpha-amylase (predicted)		O13996							
C27E2.02		Member of the UPF0029 uncharacterized protein family and the RWD domain containing family, has moderate similarity to S. cerevisiae Yih1p, which may function in the general amino acid control response					SPAC27E2.02	RWD domain		O13997							
C1347.04		Protein with weak similarity to S. cerevisiae Tim54p, which is an essential mitochondrial inner membrane protein that is involved in import of mitochondrial inner membrane proteins and is part of the translocation channel					SPBC1347.04	TIM22 inner membrane protein import complex		O94624							
pyr1	EC6.4.1.1	Protein with high similarity to A. niger PyC, member of the hydroxymethylglutaryl-CoA lyase (HMGL)-like and conserved carboxylase domain containing families, contains carbamoyl-phosphate synthase L chain ATP binding and N-terminal domains					SPBC17G9.11c	pyruvate carboxylase		Q9UUE1							
prp40		Member of the FF domain family, contains two WW domains, which bind proline-rich peptide epitopes, has low similarity to mouse Fnbp3, which is a formin binding protein that may play role in pre-mRNA splicing					SPAC4D7.13	snRNP U1 subunit Prp40		O14176							
cyr1: git2	EC4.6.1.1	Adenylyl cyclase, involved in signal transduction pathways controlling conjugation and sporulation					SPBC19C7.03	adenylate cyclase,  git2		P14605							
C1795.08c		Protein containing an HSA domain, which may bind DNA, has a region of weak similarity to a region of S. cerevisiae Vid21p, which may be involved in meiotic nuclear division					SPCC1795.08c	Myb family		O59773							
hsf		Essential transcription factor required for growth in all conditions, activates stress-response genes after exposure to heat and other stresses					SPAC2E12.02	transcriptional factor,  hstf,  hsf		Q02953							
C27E2.07		Protein required for biosynthesis of pyruvylated galactomannans					SPAC27E2.07	glycosyltransferase (predicted)		O14001							
C1347.07	EC3.1.-.-	Member of the exonuclease family, has moderate similarity to human REXO2, which is a 3'-5' exonuclease					SPBC1347.07	RNA exonuclease		O94626							
C36.02c		Member of the major facilitator superfamily, has moderate similarity to C. albicans Tpo1p, which is a membrane transporter that confers resistance to mycophenolic acid					SPBC36.02c	membrane transporter		O59699							
C1347.09		Protein of unknown function					SPBC1347.09	hexaprenyldihydroxybenzoate methyltransferase		O94628							
C23D3.11		Protein containing a short chain dehydrogenase domain, has low similarity to 1-acyl dihydroxyacetone phosphate reductase (S. cerevisiae Ayr1p)					SPAC23D3.11	1-acyldihydroxyacetone phosphate reductase (predicted)		Q09851							
iah1		Member of the lipase or acylhydrolase family, has low similarity to isoamyl acetate-hydrolyzing esterase enzyme S. cerevisiae Iah1p					SPCC126.10	isoamyl acetate hydrolytic enzyme Iah1 (predicted)									
C23D3.12		Member of the sugar (and other) transporter family and the major facilitator superfamily, has moderate similarity to S. cerevisiae Pho84p, which is a high-affinity inorganic phosphate/H+ symporter and a low affinity manganese transporter					SPAC23D3.12	inorganic phosphate transporter (predicted)		Q09852							
C2C4.07c		Member of the RNB-like family, which may have exonuclease activity, has low similarity to mitotic control protein dis3 homolog (human KIAA1008), which binds GTP- and GDP- human RAN and enhances human RAN nucleotide release					SPAC2C4.07c	ribonuclease II (RNB) family		O14040							
C20H4.01		Protein with low similarity to S. cerevisiae Utp5p, which is an 80S U3 snoRNA complex (SSU processome)protein that it required for 18S rRNA biogenesis and rDNA transcription and precursor rRNA processing					SPAC20H4.01	WD repeat protein,  SPAC631.03		Q9HE11							
C20H4.02		Protein of unknown function, has low similarity to uncharacterized C. albicans Orf19.3517p					SPAC20H4.02	GTP binding (predicted)		Q9HE10							
snc1		Essential protein found on cytoplasmic vesicles, may play a role in cell elongation and cytokinesis, member of the synaptobrevin family					SPAC6G9.11	synaptobrevin,  obsolete:snc1		Q92356							
meu31		Putative membrane protein, mRNA abundance increases during meiosis					SPAC1A6.06c	meiotic expression upregulated protein Meu31		Q9Y826							
C20H4.04		Member of the helicase conserved C-terminal domain containing family and the type III restriction enzyme res subunit family, contains a DEAD/DEAH box helicase domain, has low similarity to a region of S. cerevisiae Mph1p, which functions in DNA repair					SPAC20H4.04	DEAD/DEAH box helicase		Q9HE09							
C14F5.10c		Member of the ATP-dependent protease La (LON) domain containing family, contains a C3HC4 type (RING) zinc finger, which may mediate protein-protein interactions					SPBC14F5.10c	zinc finger protein		O60106							
C513.02		Protein of unknown function, has moderate similarity to uncharacterized S. pombe Spac5h10.03p					SPAC513.02	phosphoglycerate mutase family		Q9UT63							
C132.04c	EC1.4.1.2	Protein containing a glutamate, leucine, phenylalanine or valine dehydrogenase domain, has moderate similarity to S. cerevisiae Gdh2p, which is a glutamate dehydrogenase that is involved in aspartate, proline, nitrogen, and glutamate metabolism					SPCC132.04c	NAD dependent glutamate dehydrogenase (predicted)		Q9USN5							
rpl7a		60S ribosomal protein L7A/L8					SPBC29A3.04	60S ribosomal protein L7a (L8),  rpl7a		O13672							
C646.02		Component of the Cdc5p-associated complex, possibly involved in pre-mRNA splicing					SPBC646.02	complexed with Cdc5p		O94508							
C513.04		Protein of unknown function					SPAC513.04	dubious		Q9UT62							
C646.03		Member of the amidase family, which catalyze hydrolysis of amides, has moderate similarity to S. cerevisiae Ymr293p, which functions in glycerol metabolism					SPBC646.03	glutamyl-tRNA amidotransferase complex		O94509							
C513.05		Protein with high similarity to alpha-mannosidase (S. cerevisiae Ams1p), which hydrolyzes terminal non-reducing alpha-D-mannose residues from alpha-D-mannosides, contains glycosyl hydrolases family 38 N- and C-terminal domains					SPAC513.05	alpha-mannosidase (predicted)		Q9UT61							
C513.07		Protein with moderate similarity to alpha-acetoxy ketone reductase (S. cerevisiae Gre2p), which is involved in diamide tolerance and induced by osmotic stress					SPAC513.07	cinnamoyl-CoA reductase (predicted)		Q9UT59							
sum2		Protein required for G2/M phase checkpoint control					SPBC800.09	involved in G2/M transition checkpoint (required)		Q9HGL3							
nda2		Alpha tubulin					SPBC16A3.15c	tubulin alpha 1		P04688							
moe1		Protein required for generation of a mitotic spindle and microtubule dynamics, component of the Moe1p-Mal3p-Int6p complex which functions in microtubule organization and chromosome stability					SPAC637.07	eukaryotic translation initiation factor eIF3 gamma subunit Moe1		O94236							
C1347.11		Protein of unknown function					SPBC1347.11	sequence orphan		O94629							
C1347.12		Protein with high similarity to actin-related protein 1 (human ACTR1A), which is a dynactin complex component that is involved in organelle transport along microtubules and downregulation is associated with Down syndrome, member of the actin family					SPBC1347.12	actin-like protein		O94630							
C1002.12c	EC1.2.1.16	Protein with high similarity to succinate semialdehyde dehydrogenase (4-aminobutyrate catabolic enzyme, S. cerevisiae Uga2p), member of the aldehyde dehydrogenase family, which use NADP as a cofactor					SPAC1002.12c	succinate-semialdehyde dehydrogenase (predicted)		Q9US47							
C36.03c		Member of the major facilitator superfamily, has moderate similarity to C. albicans Tpo1p, which is a membrane transporter that confers resistance to mycophenolic acid					SPBC36.03c	membrane transporter		O59700							
C922.01		Protein containing an endoribonuclease L-PSP domain, has moderate similarity to heat-responsive protein 12 (rat Hrsp12), which is a perchloric acid-soluble protein that inhibits protein synthesis and an endoribonuclease that inhibits cell proliferation					SPAC1039.10	homologous Pmf1p factor 1,  hpm1,  SPAC922.01		Q9UR06							
C922.03		Member of the pyridoxal phosphate dependent enzyme beta family, has high similarity to uncharacterized C. neoformans Cnb00190_D					SPAC922.03	1-aminocyclopropane-1-carboxylate deaminase (predicted)		Q9URX3							
C922.04		Protein of unknown function					SPAC922.04	sequence orphan		Q9URX2							
C922.06		Protein containing a short chain dehydrogenase domain, has low similarity to peroxisomal trans 2-enoyl CoA reductase (human PECR), which catalyzes the reduction of trans 2-enoyl CoAs					SPAC922.06	oxidoreductase (predicted)		Q9URX0							
zpr1		Protein with high similarity to S. cerevisiae Zpr1p, which is a zinc finger protein required for normal cell proliferation, and involved in regulating the cell cycle and translational elongation, member of the ZPR1 zinc-finger domain family					SPAC15A10.04c	zinc finger protein		O13724							
